VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type
2,09/24/2018 12:00:03 AM,09/24/2018 12:12:18 AM,N,1,83,56,2,2.38,10.5,0.5,0.5,0,0,,0.3,11.8,1,1
2,09/24/2018 12:00:11 AM,09/24/2018 12:04:28 AM,N,1,7,179,1,0.97,5,0.5,0.5,1.26,0,,0.3,7.56,1,1
2,09/24/2018 12:00:15 AM,09/24/2018 12:06:38 AM,N,1,260,129,1,1.21,6.5,0.5,0.5,0,0,,0.3,7.8,2,1
2,09/24/2018 12:00:19 AM,09/24/2018 12:06:18 AM,N,1,7,223,1,1.34,6.5,0.5,0.5,0,0,,0.3,7.8,2,1
2,09/24/2018 12:00:20 AM,09/24/2018 12:10:45 AM,N,1,66,97,5,2.14,9.5,0.5,0.5,2.16,0,,0.3,12.96,1,1
1,09/24/2018 12:00:43 AM,09/24/2018 12:07:01 AM,N,1,41,74,1,1.1,6.5,0.5,0.5,0,0,,0.3,7.8,2,1
1,09/24/2018 12:00:53 AM,09/24/2018 12:40:58 AM,N,1,129,119,1,10.9,38,0.5,0.5,0,5.76,,0.3,45.06,2,1
2,09/24/2018 12:00:56 AM,09/24/2018 12:03:02 AM,N,1,129,82,1,0.46,3.5,0.5,0.5,0,0,,0.3,4.8,2,1
2,09/24/2018 12:01:04 AM,09/24/2018 12:06:15 AM,N,1,42,74,1,0.98,5.5,0.5,0.5,0,0,,0.3,6.8,1,1
1,09/24/2018 12:01:06 AM,09/24/2018 12:05:41 AM,Y,1,74,75,1,0.9,5.5,0.5,0.5,0,0,,0.3,6.8,2,1
1,09/24/2018 12:01:08 AM,09/24/2018 12:02:21 AM,N,1,7,7,1,0.4,3.5,0.5,0.5,0,0,,0.3,4.8,1,1
2,09/24/2018 12:01:10 AM,09/24/2018 12:16:48 AM,N,1,41,259,1,9.78,28,0.5,0.5,0,0,,0.3,29.3,2,1
2,09/24/2018 12:01:20 AM,09/24/2018 12:07:39 AM,N,1,83,157,1,1.63,7,0.5,0.5,0,0,,0.3,8.3,2,1
1,09/24/2018 12:01:25 AM,09/24/2018 12:20:58 AM,N,1,66,48,2,5.1,18,0.5,0.5,5,0,,0.3,24.3,1,1
1,09/24/2018 12:01:31 AM,09/24/2018 12:06:00 AM,N,1,41,152,1,1.2,6,0.5,0.5,0,0,,0.3,7.3,2,1
2,09/24/2018 12:01:35 AM,09/24/2018 12:06:23 AM,N,1,7,223,3,0.98,5.5,0.5,0.5,0,0,,0.3,6.8,2,1
2,09/24/2018 12:01:38 AM,09/24/2018 12:15:44 AM,N,1,255,137,2,3.88,14,0.5,0.5,3.06,0,,0.3,18.36,1,1
1,09/24/2018 12:01:44 AM,09/24/2018 12:13:11 AM,N,1,82,226,1,1.9,9.5,0.5,0.5,0,0,,0.3,10.8,2,1
1,09/24/2018 12:01:46 AM,09/24/2018 12:04:56 AM,N,1,82,160,1,0.6,4.5,0.5,0.5,0,0,,0.3,5.8,4,1
2,09/24/2018 12:01:49 AM,09/24/2018 12:09:42 AM,N,1,61,181,1,1.74,7.5,0.5,0.5,0,0,,0.3,8.8,2,1
2,09/24/2018 12:01:59 AM,09/24/2018 12:12:06 AM,N,1,256,260,1,4.59,15,0.5,0.5,0,0,,0.3,16.3,2,1
2,09/24/2018 12:02:22 AM,09/24/2018 12:06:04 AM,N,1,256,80,1,0.99,5,0.5,0.5,0,0,,0.3,6.3,2,1
2,09/24/2018 12:02:40 AM,09/24/2018 12:19:54 AM,N,1,255,262,1,5.64,18.5,0.5,0.5,2.08,0,,0.3,21.88,1,1
2,09/24/2018 12:02:44 AM,09/24/2018 12:10:40 AM,N,1,95,196,1,1.88,8,0.5,0.5,0,0,,0.3,9.3,2,1
2,09/24/2018 12:02:56 AM,09/24/2018 12:11:58 AM,N,1,82,260,2,1.72,8.5,0.5,0.5,0,0,,0.3,9.8,2,1
2,09/24/2018 12:03:00 AM,09/24/2018 12:10:49 AM,N,1,244,127,1,3.22,11,0.5,0.5,2,0,,0.3,14.3,1,1
2,09/24/2018 12:03:11 AM,09/24/2018 12:04:12 AM,N,1,223,223,2,0.14,-3,-0.5,-0.5,0,0,,-0.3,-4.3,3,1
2,09/24/2018 12:03:11 AM,09/24/2018 12:04:12 AM,N,1,223,223,2,0.14,3,0.5,0.5,0,0,,0.3,4.3,2,1
2,09/24/2018 12:03:34 AM,09/24/2018 12:14:40 AM,N,1,25,61,1,2.08,10,0.5,0.5,3.39,0,,0.3,14.69,1,1
1,09/24/2018 12:03:37 AM,09/24/2018 12:10:09 AM,N,1,112,255,1,1.4,7,0.5,0.5,3,0,,0.3,11.3,1,1
2,09/24/2018 12:03:39 AM,09/24/2018 12:08:41 AM,N,1,129,129,1,0.97,6,0.5,0.5,4.8,0,,0.3,12.1,1,1
2,09/24/2018 12:03:42 AM,09/24/2018 12:13:35 AM,N,1,43,262,1,1.46,8.5,0.5,0.5,0,0,,0.3,9.8,2,1
1,09/24/2018 12:04:18 AM,09/24/2018 12:16:46 AM,N,1,66,211,1,3.1,12,0.5,0.5,0,0,,0.3,13.3,2,1
2,09/24/2018 12:04:22 AM,09/24/2018 12:37:09 AM,N,1,17,188,1,3.73,22,0.5,0.5,0,0,,0.3,23.3,1,1
2,09/24/2018 12:04:58 AM,09/24/2018 12:19:46 AM,N,1,42,238,1,2.8,13,0.5,0.5,0,0,,0.3,14.3,2,1
2,09/24/2018 12:05:05 AM,09/24/2018 12:11:18 AM,N,1,82,129,2,0.92,6,0.5,0.5,0,0,,0.3,7.3,2,1
2,09/24/2018 12:05:12 AM,09/24/2018 12:06:54 AM,N,1,256,255,1,0.43,3.5,0.5,0.5,1.2,0,,0.3,6,1,1
2,09/24/2018 12:05:15 AM,09/24/2018 12:12:13 AM,N,1,244,74,1,2.75,9.5,0.5,0.5,0,0,,0.3,10.8,2,1
2,09/24/2018 12:05:17 AM,09/24/2018 12:32:28 AM,N,1,82,61,1,8.32,27,0.5,0.5,0,0,,0.3,28.3,2,1
2,09/24/2018 12:05:26 AM,09/24/2018 12:10:34 AM,N,1,31,20,1,0.63,5,0.5,0.5,0,0,,0.3,6.3,1,1
2,09/24/2018 12:05:34 AM,09/24/2018 12:15:41 AM,N,1,126,169,1,3.69,13,0.5,0.5,0,0,,0.3,14.3,2,1
1,09/24/2018 12:05:39 AM,09/24/2018 12:16:36 AM,N,1,129,7,2,3.1,11.5,0.5,0.5,0,0,,0.3,12.8,2,1
1,09/24/2018 12:05:58 AM,09/24/2018 12:09:49 AM,N,1,223,179,1,0.6,4.5,0.5,0.5,2,0,,0.3,7.8,1,1
1,09/24/2018 12:05:58 AM,09/24/2018 12:12:49 AM,N,1,66,65,1,0.7,6,0.5,0.5,1.46,0,,0.3,8.76,1,1
2,09/24/2018 12:06:11 AM,09/24/2018 12:23:54 AM,N,1,7,28,1,9.13,26.5,0.5,0.5,0,0,,0.3,27.8,2,1
2,09/24/2018 12:06:32 AM,09/24/2018 12:12:09 AM,N,1,260,129,2,1.35,6.5,0.5,0.5,0,0,,0.3,7.8,2,1
